usuario,tarea,prioridad,completada
Bivavly,Subir a producción,Media,False
Ocvnrjs,Subir a producción,Baja,True
Fkdfohx,Estudiar Python,Media,False
Ymgkpqx,Limpiar base de datos,Baja,True
Lscxtak,Reunión con el equipo,Alta,True
Eevfdvb,Actualizar dependencias,Media,True
Comyigf,Leer documentación,Media,False
Jyuwwbw,Enviar reporte,Media,False
Yfmjweq,Subir a producción,Baja,False
Qyvicpt,Estudiar Python,Media,False
Pclwajt,Revisar código,Baja,False
Csxfogy,Enviar reporte,Alta,False
Jpdstin,Optimizar funciones,Media,True
Hxfbzhg,Estudiar Python,Baja,True
Wxbxjmc,Enviar reporte,Alta,False
Bxaokdb,Revisar código,Media,True
Asvxmdr,Leer documentación,Media,True
Oxydrxy,Reunión con el equipo,Media,True
Ztwzglg,Enviar reporte,Baja,False
Ovrgebo,Leer documentación,Media,True
Ohagkki,Estudiar Python,Alta,False
Eiwvcsk,Revisar código,Media,False
Zenutwa,Enviar reporte,Baja,True
Jmzrupp,Limpiar base de datos,Media,True
Jmxkqrg,Actualizar dependencias,Alta,False
Wghtzql,Estudiar Python,Media,False
Tnzsdth,Revisar código,Media,True
Iqzonkd,Reunión con el equipo,Media,True
Sglltwc,Revisar código,Media,True
Rvxyvot,Limpiar base de datos,Baja,False
